Athlete,Statistic,Team,Total
"Manu'a, K",attempt_from_zone1,GIANTS Netball,0
"Manu'a, K",attempt_from_zone2,GIANTS Netball,0
"Manu'a, K",attempts1,GIANTS Netball,0
"Manu'a, K",attempts2,GIANTS Netball,0
"Manu'a, K",badHands,GIANTS Netball,3
"Manu'a, K",badPasses,GIANTS Netball,2
"Manu'a, K",blocked,GIANTS Netball,0
"Manu'a, K",blocks,GIANTS Netball,3
"Manu'a, K",breaks,GIANTS Netball,6
"Manu'a, K",centrePassReceives,GIANTS Netball,70
"Manu'a, K",centrePassToGoalPerc,GIANTS Netball,0
"Manu'a, K",contactPenalties,GIANTS Netball,109
"Manu'a, K",deflections,GIANTS Netball,30
"Manu'a, K",deflectionWithGain,GIANTS Netball,5
"Manu'a, K",deflectionWithNoGain,GIANTS Netball,25
"Manu'a, K",disposals,GIANTS Netball,20
"Manu'a, K",feeds,GIANTS Netball,4
"Manu'a, K",feedWithAttempt,GIANTS Netball,4
"Manu'a, K",gain,GIANTS Netball,22
"Manu'a, K",gainToGoalPerc,GIANTS Netball,0
"Manu'a, K",generalPlayTurnovers,GIANTS Netball,17
"Manu'a, K",goal_from_zone1,GIANTS Netball,0
"Manu'a, K",goal_from_zone2,GIANTS Netball,0
"Manu'a, K",goal1,GIANTS Netball,0
"Manu'a, K",goal2,GIANTS Netball,0
"Manu'a, K",goalAssists,GIANTS Netball,4
"Manu'a, K",goalAttempts,GIANTS Netball,0
"Manu'a, K",goalMisses,GIANTS Netball,0
"Manu'a, K",goals,GIANTS Netball,0
"Manu'a, K",interceptPassThrown,GIANTS Netball,7
"Manu'a, K",intercepts,GIANTS Netball,13
"Manu'a, K",minutesPlayed,GIANTS Netball,649
"Manu'a, K",missedGoalTurnover,GIANTS Netball,0
"Manu'a, K",netPoints,GIANTS Netball,284
"Manu'a, K",obstructionPenalties,GIANTS Netball,41
"Manu'a, K",offsides,GIANTS Netball,0
"Manu'a, K",passes,GIANTS Netball,4
"Manu'a, K",penalties,GIANTS Netball,150
"Manu'a, K",pickups,GIANTS Netball,16
"Manu'a, K",points,GIANTS Netball,0
"Manu'a, K",possessionChanges,GIANTS Netball,17
"Manu'a, K",possessions,GIANTS Netball,131
"Manu'a, K",quartersPlayed,GIANTS Netball,49
"Manu'a, K",rebounds,GIANTS Netball,4
"Manu'a, K",tossUpWin,GIANTS Netball,0
"Maweni, P",attempt_from_zone1,Sunshine Coast Lightning,0
"Maweni, P",attempt_from_zone2,Sunshine Coast Lightning,0
"Maweni, P",attempts1,Sunshine Coast Lightning,0
"Maweni, P",attempts2,Sunshine Coast Lightning,0
"Maweni, P",badHands,Sunshine Coast Lightning,1
"Maweni, P",badPasses,Sunshine Coast Lightning,0
"Maweni, P",blocked,Sunshine Coast Lightning,0
"Maweni, P",blocks,Sunshine Coast Lightning,4
"Maweni, P",breaks,Sunshine Coast Lightning,0
"Maweni, P",centrePassReceives,Sunshine Coast Lightning,1
"Maweni, P",centrePassToGoalPerc,Sunshine Coast Lightning,0
"Maweni, P",contactPenalties,Sunshine Coast Lightning,123
"Maweni, P",deflections,Sunshine Coast Lightning,80
"Maweni, P",deflectionWithGain,Sunshine Coast Lightning,22
"Maweni, P",deflectionWithNoGain,Sunshine Coast Lightning,58
"Maweni, P",disposals,Sunshine Coast Lightning,75
"Maweni, P",feeds,Sunshine Coast Lightning,0
"Maweni, P",feedWithAttempt,Sunshine Coast Lightning,0
"Maweni, P",gain,Sunshine Coast Lightning,64
"Maweni, P",gainToGoalPerc,Sunshine Coast Lightning,0
"Maweni, P",generalPlayTurnovers,Sunshine Coast Lightning,3
"Maweni, P",goal_from_zone1,Sunshine Coast Lightning,0
"Maweni, P",goal_from_zone2,Sunshine Coast Lightning,0
"Maweni, P",goal1,Sunshine Coast Lightning,0
"Maweni, P",goal2,Sunshine Coast Lightning,0
"Maweni, P",goalAssists,Sunshine Coast Lightning,0
"Maweni, P",goalAttempts,Sunshine Coast Lightning,0
"Maweni, P",goalMisses,Sunshine Coast Lightning,0
"Maweni, P",goals,Sunshine Coast Lightning,0
"Maweni, P",interceptPassThrown,Sunshine Coast Lightning,1
"Maweni, P",intercepts,Sunshine Coast Lightning,22
"Maweni, P",minutesPlayed,Sunshine Coast Lightning,785
"Maweni, P",missedGoalTurnover,Sunshine Coast Lightning,0
"Maweni, P",netPoints,Sunshine Coast Lightning,702
"Maweni, P",obstructionPenalties,Sunshine Coast Lightning,55
"Maweni, P",offsides,Sunshine Coast Lightning,0
"Maweni, P",passes,Sunshine Coast Lightning,0
"Maweni, P",penalties,Sunshine Coast Lightning,178
"Maweni, P",pickups,Sunshine Coast Lightning,10
"Maweni, P",points,Sunshine Coast Lightning,0
"Maweni, P",possessionChanges,Sunshine Coast Lightning,3
"Maweni, P",possessions,Sunshine Coast Lightning,135
"Maweni, P",quartersPlayed,Sunshine Coast Lightning,55
"Maweni, P",rebounds,Sunshine Coast Lightning,20
"Maweni, P",tossUpWin,Sunshine Coast Lightning,0
"McAuliffe, M",attempt_from_zone1,Sunshine Coast Lightning,0
"McAuliffe, M",attempt_from_zone2,Sunshine Coast Lightning,0
"McAuliffe, M",attempts1,Sunshine Coast Lightning,0
"McAuliffe, M",attempts2,Sunshine Coast Lightning,0
"McAuliffe, M",badHands,Sunshine Coast Lightning,1
"McAuliffe, M",badPasses,Sunshine Coast Lightning,2
"McAuliffe, M",blocked,Sunshine Coast Lightning,0
"McAuliffe, M",blocks,Sunshine Coast Lightning,0
"McAuliffe, M",breaks,Sunshine Coast Lightning,5
"McAuliffe, M",centrePassReceives,Sunshine Coast Lightning,30
"McAuliffe, M",centrePassToGoalPerc,Sunshine Coast Lightning,0
"McAuliffe, M",contactPenalties,Sunshine Coast Lightning,31
"McAuliffe, M",deflections,Sunshine Coast Lightning,26
"McAuliffe, M",deflectionWithGain,Sunshine Coast Lightning,7
"McAuliffe, M",deflectionWithNoGain,Sunshine Coast Lightning,19
"McAuliffe, M",disposals,Sunshine Coast Lightning,50
"McAuliffe, M",feeds,Sunshine Coast Lightning,40
"McAuliffe, M",feedWithAttempt,Sunshine Coast Lightning,27
"McAuliffe, M",gain,Sunshine Coast Lightning,20
"McAuliffe, M",gainToGoalPerc,Sunshine Coast Lightning,0
"McAuliffe, M",generalPlayTurnovers,Sunshine Coast Lightning,15
"McAuliffe, M",goal_from_zone1,Sunshine Coast Lightning,0
"McAuliffe, M",goal_from_zone2,Sunshine Coast Lightning,0
"McAuliffe, M",goal1,Sunshine Coast Lightning,0
"McAuliffe, M",goal2,Sunshine Coast Lightning,0
"McAuliffe, M",goalAssists,Sunshine Coast Lightning,25
"McAuliffe, M",goalAttempts,Sunshine Coast Lightning,0
"McAuliffe, M",goalMisses,Sunshine Coast Lightning,0
"McAuliffe, M",goals,Sunshine Coast Lightning,0
"McAuliffe, M",interceptPassThrown,Sunshine Coast Lightning,7
"McAuliffe, M",intercepts,Sunshine Coast Lightning,13
"McAuliffe, M",minutesPlayed,Sunshine Coast Lightning,554
"McAuliffe, M",missedGoalTurnover,Sunshine Coast Lightning,0
"McAuliffe, M",netPoints,Sunshine Coast Lightning,319
"McAuliffe, M",obstructionPenalties,Sunshine Coast Lightning,8
"McAuliffe, M",offsides,Sunshine Coast Lightning,5
"McAuliffe, M",passes,Sunshine Coast Lightning,40
"McAuliffe, M",penalties,Sunshine Coast Lightning,39
"McAuliffe, M",pickups,Sunshine Coast Lightning,12
"McAuliffe, M",points,Sunshine Coast Lightning,0
"McAuliffe, M",possessionChanges,Sunshine Coast Lightning,15
"McAuliffe, M",possessions,Sunshine Coast Lightning,74
"McAuliffe, M",quartersPlayed,Sunshine Coast Lightning,45
"McAuliffe, M",rebounds,Sunshine Coast Lightning,0
"McAuliffe, M",tossUpWin,Sunshine Coast Lightning,0
"McDonald, E",attempt_from_zone1,Melbourne Vixens,0
"McDonald, E",attempt_from_zone2,Melbourne Vixens,0
"McDonald, E",attempts1,Melbourne Vixens,0
"McDonald, E",attempts2,Melbourne Vixens,0
"McDonald, E",badHands,Melbourne Vixens,1
"McDonald, E",badPasses,Melbourne Vixens,4
"McDonald, E",blocked,Melbourne Vixens,0
"McDonald, E",blocks,Melbourne Vixens,0
"McDonald, E",breaks,Melbourne Vixens,0
"McDonald, E",centrePassReceives,Melbourne Vixens,24
"McDonald, E",centrePassToGoalPerc,Melbourne Vixens,0
"McDonald, E",contactPenalties,Melbourne Vixens,7
"McDonald, E",deflections,Melbourne Vixens,3
"McDonald, E",deflectionWithGain,Melbourne Vixens,0
"McDonald, E",deflectionWithNoGain,Melbourne Vixens,3
"McDonald, E",disposals,Melbourne Vixens,53
"McDonald, E",feeds,Melbourne Vixens,51
"McDonald, E",feedWithAttempt,Melbourne Vixens,36
"McDonald, E",gain,Melbourne Vixens,0
"McDonald, E",gainToGoalPerc,Melbourne Vixens,0
"McDonald, E",generalPlayTurnovers,Melbourne Vixens,7
"McDonald, E",goal_from_zone1,Melbourne Vixens,0
"McDonald, E",goal_from_zone2,Melbourne Vixens,0
"McDonald, E",goal1,Melbourne Vixens,0
"McDonald, E",goal2,Melbourne Vixens,0
"McDonald, E",goalAssists,Melbourne Vixens,34
"McDonald, E",goalAttempts,Melbourne Vixens,0
"McDonald, E",goalMisses,Melbourne Vixens,0
"McDonald, E",goals,Melbourne Vixens,0
"McDonald, E",interceptPassThrown,Melbourne Vixens,1
"McDonald, E",intercepts,Melbourne Vixens,0
"McDonald, E",minutesPlayed,Melbourne Vixens,88
"McDonald, E",missedGoalTurnover,Melbourne Vixens,0
"McDonald, E",netPoints,Melbourne Vixens,78
"McDonald, E",obstructionPenalties,Melbourne Vixens,1
"McDonald, E",offsides,Melbourne Vixens,2
"McDonald, E",passes,Melbourne Vixens,51
"McDonald, E",penalties,Melbourne Vixens,8
"McDonald, E",pickups,Melbourne Vixens,4
"McDonald, E",points,Melbourne Vixens,0
"McDonald, E",possessionChanges,Melbourne Vixens,7
"McDonald, E",possessions,Melbourne Vixens,31
"McDonald, E",quartersPlayed,Melbourne Vixens,9
"McDonald, E",rebounds,Melbourne Vixens,0
"McDonald, E",tossUpWin,Melbourne Vixens,0
"McDonald, S",attempt_from_zone1,Melbourne Vixens,0
"McDonald, S",attempt_from_zone2,Melbourne Vixens,0
"McDonald, S",attempts1,Melbourne Vixens,0
"McDonald, S",attempts2,Melbourne Vixens,0
"McDonald, S",badHands,Melbourne Vixens,0
"McDonald, S",badPasses,Melbourne Vixens,0
"McDonald, S",blocked,Melbourne Vixens,0
"McDonald, S",blocks,Melbourne Vixens,0
"McDonald, S",breaks,Melbourne Vixens,0
"McDonald, S",centrePassReceives,Melbourne Vixens,0
"McDonald, S",centrePassToGoalPerc,Melbourne Vixens,0
"McDonald, S",contactPenalties,Melbourne Vixens,0
"McDonald, S",deflections,Melbourne Vixens,0
"McDonald, S",deflectionWithGain,Melbourne Vixens,0
"McDonald, S",deflectionWithNoGain,Melbourne Vixens,0
"McDonald, S",disposals,Melbourne Vixens,0
"McDonald, S",feeds,Melbourne Vixens,0
"McDonald, S",feedWithAttempt,Melbourne Vixens,0
"McDonald, S",gain,Melbourne Vixens,0
"McDonald, S",gainToGoalPerc,Melbourne Vixens,0
"McDonald, S",generalPlayTurnovers,Melbourne Vixens,0
"McDonald, S",goal_from_zone1,Melbourne Vixens,0
"McDonald, S",goal_from_zone2,Melbourne Vixens,0
"McDonald, S",goal1,Melbourne Vixens,0
"McDonald, S",goal2,Melbourne Vixens,0
"McDonald, S",goalAssists,Melbourne Vixens,0
"McDonald, S",goalAttempts,Melbourne Vixens,0
"McDonald, S",goalMisses,Melbourne Vixens,0
"McDonald, S",goals,Melbourne Vixens,0
"McDonald, S",interceptPassThrown,Melbourne Vixens,0
"McDonald, S",intercepts,Melbourne Vixens,0
"McDonald, S",minutesPlayed,Melbourne Vixens,0
"McDonald, S",missedGoalTurnover,Melbourne Vixens,0
"McDonald, S",netPoints,Melbourne Vixens,0
"McDonald, S",obstructionPenalties,Melbourne Vixens,0
"McDonald, S",offsides,Melbourne Vixens,0
"McDonald, S",passes,Melbourne Vixens,0
"McDonald, S",penalties,Melbourne Vixens,0
"McDonald, S",pickups,Melbourne Vixens,0
"McDonald, S",points,Melbourne Vixens,0
"McDonald, S",possessionChanges,Melbourne Vixens,0
"McDonald, S",possessions,Melbourne Vixens,0
"McDonald, S",quartersPlayed,Melbourne Vixens,0
"McDonald, S",rebounds,Melbourne Vixens,0
"McDonald, S",tossUpWin,Melbourne Vixens,0
"McDonell, M",attempt_from_zone1,GIANTS Netball,0
"McDonell, M",attempt_from_zone2,GIANTS Netball,0
"McDonell, M",attempts1,GIANTS Netball,0
"McDonell, M",attempts2,GIANTS Netball,0
"McDonell, M",badHands,GIANTS Netball,0
"McDonell, M",badPasses,GIANTS Netball,0
"McDonell, M",blocked,GIANTS Netball,0
"McDonell, M",blocks,GIANTS Netball,0
"McDonell, M",breaks,GIANTS Netball,0
"McDonell, M",centrePassReceives,GIANTS Netball,4
"McDonell, M",centrePassToGoalPerc,GIANTS Netball,0
"McDonell, M",contactPenalties,GIANTS Netball,19
"McDonell, M",deflections,GIANTS Netball,7
"McDonell, M",deflectionWithGain,GIANTS Netball,2
"McDonell, M",deflectionWithNoGain,GIANTS Netball,5
"McDonell, M",disposals,GIANTS Netball,7
"McDonell, M",feeds,GIANTS Netball,0
"McDonell, M",feedWithAttempt,GIANTS Netball,0
"McDonell, M",gain,GIANTS Netball,7
"McDonell, M",gainToGoalPerc,GIANTS Netball,0
"McDonell, M",generalPlayTurnovers,GIANTS Netball,1
"McDonell, M",goal_from_zone1,GIANTS Netball,0
"McDonell, M",goal_from_zone2,GIANTS Netball,0
"McDonell, M",goal1,GIANTS Netball,0
"McDonell, M",goal2,GIANTS Netball,0
"McDonell, M",goalAssists,GIANTS Netball,0
"McDonell, M",goalAttempts,GIANTS Netball,0
"McDonell, M",goalMisses,GIANTS Netball,0
"McDonell, M",goals,GIANTS Netball,0
"McDonell, M",interceptPassThrown,GIANTS Netball,1
"McDonell, M",intercepts,GIANTS Netball,2
"McDonell, M",minutesPlayed,GIANTS Netball,116
"McDonell, M",missedGoalTurnover,GIANTS Netball,0
"McDonell, M",netPoints,GIANTS Netball,67.5
"McDonell, M",obstructionPenalties,GIANTS Netball,14
"McDonell, M",offsides,GIANTS Netball,0
"McDonell, M",passes,GIANTS Netball,0
"McDonell, M",penalties,GIANTS Netball,33
"McDonell, M",pickups,GIANTS Netball,3
"McDonell, M",points,GIANTS Netball,0
"McDonell, M",possessionChanges,GIANTS Netball,1
"McDonell, M",possessions,GIANTS Netball,21
"McDonell, M",quartersPlayed,GIANTS Netball,13
"McDonell, M",rebounds,GIANTS Netball,3
"McDonell, M",tossUpWin,GIANTS Netball,0
"Mentor, G",attempt_from_zone1,Collingwood Magpies,0
"Mentor, G",attempt_from_zone2,Collingwood Magpies,0
"Mentor, G",attempts1,Collingwood Magpies,0
"Mentor, G",attempts2,Collingwood Magpies,0
"Mentor, G",badHands,Collingwood Magpies,1
"Mentor, G",badPasses,Collingwood Magpies,1
"Mentor, G",blocked,Collingwood Magpies,0
"Mentor, G",blocks,Collingwood Magpies,1
"Mentor, G",breaks,Collingwood Magpies,0
"Mentor, G",centrePassReceives,Collingwood Magpies,0
"Mentor, G",centrePassToGoalPerc,Collingwood Magpies,0
"Mentor, G",contactPenalties,Collingwood Magpies,140
"Mentor, G",deflections,Collingwood Magpies,107
"Mentor, G",deflectionWithGain,Collingwood Magpies,18
"Mentor, G",deflectionWithNoGain,Collingwood Magpies,89
"Mentor, G",disposals,Collingwood Magpies,80
"Mentor, G",feeds,Collingwood Magpies,0
"Mentor, G",feedWithAttempt,Collingwood Magpies,0
"Mentor, G",gain,Collingwood Magpies,69
"Mentor, G",gainToGoalPerc,Collingwood Magpies,0
"Mentor, G",generalPlayTurnovers,Collingwood Magpies,7
"Mentor, G",goal_from_zone1,Collingwood Magpies,0
"Mentor, G",goal_from_zone2,Collingwood Magpies,0
"Mentor, G",goal1,Collingwood Magpies,0
"Mentor, G",goal2,Collingwood Magpies,0
"Mentor, G",goalAssists,Collingwood Magpies,0
"Mentor, G",goalAttempts,Collingwood Magpies,0
"Mentor, G",goalMisses,Collingwood Magpies,0
"Mentor, G",goals,Collingwood Magpies,0
"Mentor, G",interceptPassThrown,Collingwood Magpies,2
"Mentor, G",intercepts,Collingwood Magpies,26
"Mentor, G",minutesPlayed,Collingwood Magpies,834
"Mentor, G",missedGoalTurnover,Collingwood Magpies,0
"Mentor, G",netPoints,Collingwood Magpies,888
"Mentor, G",obstructionPenalties,Collingwood Magpies,42
"Mentor, G",offsides,Collingwood Magpies,0
"Mentor, G",passes,Collingwood Magpies,0
"Mentor, G",penalties,Collingwood Magpies,182
"Mentor, G",pickups,Collingwood Magpies,17
"Mentor, G",points,Collingwood Magpies,0
"Mentor, G",possessionChanges,Collingwood Magpies,7
"Mentor, G",possessions,Collingwood Magpies,157
"Mentor, G",quartersPlayed,Collingwood Magpies,56
"Mentor, G",rebounds,Collingwood Magpies,25
"Mentor, G",tossUpWin,Collingwood Magpies,0
"Mi Mi, J",attempt_from_zone1,Queensland Firebirds,0
"Mi Mi, J",attempt_from_zone2,Queensland Firebirds,0
"Mi Mi, J",attempts1,Queensland Firebirds,0
"Mi Mi, J",attempts2,Queensland Firebirds,0
"Mi Mi, J",badHands,Queensland Firebirds,2
"Mi Mi, J",badPasses,Queensland Firebirds,4
"Mi Mi, J",blocked,Queensland Firebirds,0
"Mi Mi, J",blocks,Queensland Firebirds,0
"Mi Mi, J",breaks,Queensland Firebirds,0
"Mi Mi, J",centrePassReceives,Queensland Firebirds,148
"Mi Mi, J",centrePassToGoalPerc,Queensland Firebirds,0
"Mi Mi, J",contactPenalties,Queensland Firebirds,30
"Mi Mi, J",deflections,Queensland Firebirds,9
"Mi Mi, J",deflectionWithGain,Queensland Firebirds,3
"Mi Mi, J",deflectionWithNoGain,Queensland Firebirds,6
"Mi Mi, J",disposals,Queensland Firebirds,209
"Mi Mi, J",feeds,Queensland Firebirds,198
"Mi Mi, J",feedWithAttempt,Queensland Firebirds,112
"Mi Mi, J",gain,Queensland Firebirds,5
"Mi Mi, J",gainToGoalPerc,Queensland Firebirds,0
"Mi Mi, J",generalPlayTurnovers,Queensland Firebirds,32
"Mi Mi, J",goal_from_zone1,Queensland Firebirds,0
"Mi Mi, J",goal_from_zone2,Queensland Firebirds,0
"Mi Mi, J",goal1,Queensland Firebirds,0
"Mi Mi, J",goal2,Queensland Firebirds,0
"Mi Mi, J",goalAssists,Queensland Firebirds,91
"Mi Mi, J",goalAttempts,Queensland Firebirds,0
"Mi Mi, J",goalMisses,Queensland Firebirds,0
"Mi Mi, J",goals,Queensland Firebirds,0
"Mi Mi, J",interceptPassThrown,Queensland Firebirds,16
"Mi Mi, J",intercepts,Queensland Firebirds,2
"Mi Mi, J",minutesPlayed,Queensland Firebirds,419
"Mi Mi, J",missedGoalTurnover,Queensland Firebirds,0
"Mi Mi, J",netPoints,Queensland Firebirds,254.5
"Mi Mi, J",obstructionPenalties,Queensland Firebirds,2
"Mi Mi, J",offsides,Queensland Firebirds,3
"Mi Mi, J",passes,Queensland Firebirds,198
"Mi Mi, J",penalties,Queensland Firebirds,32
"Mi Mi, J",pickups,Queensland Firebirds,16
"Mi Mi, J",points,Queensland Firebirds,0
"Mi Mi, J",possessionChanges,Queensland Firebirds,32
"Mi Mi, J",possessions,Queensland Firebirds,179
"Mi Mi, J",quartersPlayed,Queensland Firebirds,33
"Mi Mi, J",rebounds,Queensland Firebirds,0
"Mi Mi, J",tossUpWin,Queensland Firebirds,0
"Moloney, K",attempt_from_zone1,Melbourne Vixens,0
"Moloney, K",attempt_from_zone2,Melbourne Vixens,0
"Moloney, K",attempts1,Melbourne Vixens,0
"Moloney, K",attempts2,Melbourne Vixens,0
"Moloney, K",badHands,Melbourne Vixens,4
"Moloney, K",badPasses,Melbourne Vixens,7
"Moloney, K",blocked,Melbourne Vixens,0
"Moloney, K",blocks,Melbourne Vixens,0
"Moloney, K",breaks,Melbourne Vixens,0
"Moloney, K",centrePassReceives,Melbourne Vixens,0
"Moloney, K",centrePassToGoalPerc,Melbourne Vixens,0
"Moloney, K",contactPenalties,Melbourne Vixens,85
"Moloney, K",deflections,Melbourne Vixens,21
"Moloney, K",deflectionWithGain,Melbourne Vixens,11
"Moloney, K",deflectionWithNoGain,Melbourne Vixens,9
"Moloney, K",disposals,Melbourne Vixens,337
"Moloney, K",feeds,Melbourne Vixens,324
"Moloney, K",feedWithAttempt,Melbourne Vixens,229
"Moloney, K",gain,Melbourne Vixens,22
"Moloney, K",gainToGoalPerc,Melbourne Vixens,0
"Moloney, K",generalPlayTurnovers,Melbourne Vixens,30
"Moloney, K",goal_from_zone1,Melbourne Vixens,0
"Moloney, K",goal_from_zone2,Melbourne Vixens,0
"Moloney, K",goal1,Melbourne Vixens,0
"Moloney, K",goal2,Melbourne Vixens,0
"Moloney, K",goalAssists,Melbourne Vixens,192
"Moloney, K",goalAttempts,Melbourne Vixens,0
"Moloney, K",goalMisses,Melbourne Vixens,0
"Moloney, K",goals,Melbourne Vixens,0
"Moloney, K",interceptPassThrown,Melbourne Vixens,7
"Moloney, K",intercepts,Melbourne Vixens,11
"Moloney, K",minutesPlayed,Melbourne Vixens,804
"Moloney, K",missedGoalTurnover,Melbourne Vixens,0
"Moloney, K",netPoints,Melbourne Vixens,1023
"Moloney, K",obstructionPenalties,Melbourne Vixens,10
"Moloney, K",offsides,Melbourne Vixens,6
"Moloney, K",passes,Melbourne Vixens,324
"Moloney, K",penalties,Melbourne Vixens,96
"Moloney, K",pickups,Melbourne Vixens,41
"Moloney, K",points,Melbourne Vixens,0
"Moloney, K",possessionChanges,Melbourne Vixens,30
"Moloney, K",possessions,Melbourne Vixens,81
"Moloney, K",quartersPlayed,Melbourne Vixens,54
"Moloney, K",rebounds,Melbourne Vixens,0
"Moloney, K",tossUpWin,Melbourne Vixens,0
"Moore, L",attempt_from_zone1,NSW Swifts,0
"Moore, L",attempt_from_zone2,NSW Swifts,0
"Moore, L",attempts1,NSW Swifts,0
"Moore, L",attempts2,NSW Swifts,0
"Moore, L",badHands,NSW Swifts,0
"Moore, L",badPasses,NSW Swifts,2
"Moore, L",blocked,NSW Swifts,0
"Moore, L",blocks,NSW Swifts,0
"Moore, L",breaks,NSW Swifts,3
"Moore, L",centrePassReceives,NSW Swifts,26
"Moore, L",centrePassToGoalPerc,NSW Swifts,0
"Moore, L",contactPenalties,NSW Swifts,61
"Moore, L",deflections,NSW Swifts,28
"Moore, L",deflectionWithGain,NSW Swifts,3
"Moore, L",deflectionWithNoGain,NSW Swifts,25
"Moore, L",disposals,NSW Swifts,14
"Moore, L",feeds,NSW Swifts,0
"Moore, L",feedWithAttempt,NSW Swifts,0
"Moore, L",gain,NSW Swifts,23
"Moore, L",gainToGoalPerc,NSW Swifts,0
"Moore, L",generalPlayTurnovers,NSW Swifts,7
"Moore, L",goal_from_zone1,NSW Swifts,0
"Moore, L",goal_from_zone2,NSW Swifts,0
"Moore, L",goal1,NSW Swifts,0
"Moore, L",goal2,NSW Swifts,0
"Moore, L",goalAssists,NSW Swifts,0
"Moore, L",goalAttempts,NSW Swifts,0
"Moore, L",goalMisses,NSW Swifts,0
"Moore, L",goals,NSW Swifts,0
"Moore, L",interceptPassThrown,NSW Swifts,0
"Moore, L",intercepts,NSW Swifts,17
"Moore, L",minutesPlayed,NSW Swifts,490
"Moore, L",missedGoalTurnover,NSW Swifts,0
"Moore, L",netPoints,NSW Swifts,356.5
"Moore, L",obstructionPenalties,NSW Swifts,30
"Moore, L",offsides,NSW Swifts,1
"Moore, L",passes,NSW Swifts,0
"Moore, L",penalties,NSW Swifts,91
"Moore, L",pickups,NSW Swifts,15
"Moore, L",points,NSW Swifts,0
"Moore, L",possessionChanges,NSW Swifts,7
"Moore, L",possessions,NSW Swifts,86
"Moore, L",quartersPlayed,NSW Swifts,47
"Moore, L",rebounds,NSW Swifts,3
"Moore, L",tossUpWin,NSW Swifts,0
"Nankivell, M",attempt_from_zone1,Adelaide Thunderbirds,0
"Nankivell, M",attempt_from_zone2,Adelaide Thunderbirds,0
"Nankivell, M",attempts1,Adelaide Thunderbirds,0
"Nankivell, M",attempts2,Adelaide Thunderbirds,0
"Nankivell, M",badHands,Adelaide Thunderbirds,8
"Nankivell, M",badPasses,Adelaide Thunderbirds,4
"Nankivell, M",blocked,Adelaide Thunderbirds,0
"Nankivell, M",blocks,Adelaide Thunderbirds,0
"Nankivell, M",breaks,Adelaide Thunderbirds,1
"Nankivell, M",centrePassReceives,Adelaide Thunderbirds,61
"Nankivell, M",centrePassToGoalPerc,Adelaide Thunderbirds,0
"Nankivell, M",contactPenalties,Adelaide Thunderbirds,93
"Nankivell, M",deflections,Adelaide Thunderbirds,29
"Nankivell, M",deflectionWithGain,Adelaide Thunderbirds,8
"Nankivell, M",deflectionWithNoGain,Adelaide Thunderbirds,21
"Nankivell, M",disposals,Adelaide Thunderbirds,309
"Nankivell, M",feeds,Adelaide Thunderbirds,300
"Nankivell, M",feedWithAttempt,Adelaide Thunderbirds,196
"Nankivell, M",gain,Adelaide Thunderbirds,24
"Nankivell, M",gainToGoalPerc,Adelaide Thunderbirds,0
"Nankivell, M",generalPlayTurnovers,Adelaide Thunderbirds,37
"Nankivell, M",goal_from_zone1,Adelaide Thunderbirds,0
"Nankivell, M",goal_from_zone2,Adelaide Thunderbirds,0
"Nankivell, M",goal1,Adelaide Thunderbirds,0
"Nankivell, M",goal2,Adelaide Thunderbirds,0
"Nankivell, M",goalAssists,Adelaide Thunderbirds,158
"Nankivell, M",goalAttempts,Adelaide Thunderbirds,0
"Nankivell, M",goalMisses,Adelaide Thunderbirds,0
"Nankivell, M",goals,Adelaide Thunderbirds,0
"Nankivell, M",interceptPassThrown,Adelaide Thunderbirds,11
"Nankivell, M",intercepts,Adelaide Thunderbirds,16
"Nankivell, M",minutesPlayed,Adelaide Thunderbirds,770
"Nankivell, M",missedGoalTurnover,Adelaide Thunderbirds,0
"Nankivell, M",netPoints,Adelaide Thunderbirds,785
"Nankivell, M",obstructionPenalties,Adelaide Thunderbirds,27
"Nankivell, M",offsides,Adelaide Thunderbirds,6
"Nankivell, M",passes,Adelaide Thunderbirds,300
"Nankivell, M",penalties,Adelaide Thunderbirds,120
"Nankivell, M",pickups,Adelaide Thunderbirds,28
"Nankivell, M",points,Adelaide Thunderbirds,0
"Nankivell, M",possessionChanges,Adelaide Thunderbirds,37
"Nankivell, M",possessions,Adelaide Thunderbirds,128
"Nankivell, M",quartersPlayed,Adelaide Thunderbirds,56
"Nankivell, M",rebounds,Adelaide Thunderbirds,0
"Nankivell, M",tossUpWin,Adelaide Thunderbirds,0
"Nelson, S",attempt_from_zone1,Collingwood Magpies,450
"Nelson, S",attempt_from_zone2,Collingwood Magpies,9
"Nelson, S",attempts1,Collingwood Magpies,450
"Nelson, S",attempts2,Collingwood Magpies,9
"Nelson, S",badHands,Collingwood Magpies,33
"Nelson, S",badPasses,Collingwood Magpies,2
"Nelson, S",blocked,Collingwood Magpies,0
"Nelson, S",blocks,Collingwood Magpies,0
"Nelson, S",breaks,Collingwood Magpies,0
"Nelson, S",centrePassReceives,Collingwood Magpies,0
"Nelson, S",centrePassToGoalPerc,Collingwood Magpies,0
"Nelson, S",contactPenalties,Collingwood Magpies,13
"Nelson, S",deflections,Collingwood Magpies,4
"Nelson, S",deflectionWithGain,Collingwood Magpies,1
"Nelson, S",deflectionWithNoGain,Collingwood Magpies,2
"Nelson, S",disposals,Collingwood Magpies,466
"Nelson, S",feeds,Collingwood Magpies,7
"Nelson, S",feedWithAttempt,Collingwood Magpies,7
